Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Login,,,,13-02-2024 16:37:37,13-02-2024 16:41:08,3m - 31.679s,PASSED
,,,,,,,
Test Cases/Login/Login - Berhasil,,,,13-02-2024 16:37:37,13-02-2024 16:38:45,1m - 7.262s,PASSED
"startApplication(""C:\Users\LENOVO\Downloads\Advantage+demo+3.2.apk"", true)",,,,13-02-2024 16:37:38,13-02-2024 16:38:22,44.229s,PASSED
"tap(findTestObject(""Object Repository/Login Berhasil/android.widget.ImageView""), 0)",,,,13-02-2024 16:38:22,13-02-2024 16:38:25,2.661s,PASSED
"tap(findTestObject(""Object Repository/Login Berhasil/android.widget.LinearLayout""), 0)",,,,13-02-2024 16:38:25,13-02-2024 16:38:27,1.986s,PASSED
"tap(findTestObject(""Object Repository/Login Berhasil/android.widget.EditText""), 0)",,,,13-02-2024 16:38:27,13-02-2024 16:38:29,2.261s,PASSED
"setText(findTestObject(""Object Repository/Login Berhasil/android.widget.EditText""), username, 0)",,,,13-02-2024 16:38:29,13-02-2024 16:38:32,2.708s,PASSED
hideKeyboard(),,,,13-02-2024 16:38:32,13-02-2024 16:38:34,2.009s,PASSED
"tap(findTestObject(""Object Repository/Login Berhasil/android.widget.EditText (1)""), 0)",,,,13-02-2024 16:38:34,13-02-2024 16:38:34,0.498s,PASSED
"setText(findTestObject(""Object Repository/Login Berhasil/android.widget.EditText (1)""), password, 0)",,,,13-02-2024 16:38:34,13-02-2024 16:38:36,2.000s,PASSED
hideKeyboard(),,,,13-02-2024 16:38:36,13-02-2024 16:38:38,1.680s,PASSED
"tap(findTestObject(""Object Repository/Login Berhasil/android.widget.Button - LOGIN""), 0)",,,,13-02-2024 16:38:38,13-02-2024 16:38:39,0.581s,PASSED
"tap(findTestObject(""Object Repository/Login Berhasil/android.widget.ImageView""), 0)",,,,13-02-2024 16:38:39,13-02-2024 16:38:42,3.072s,PASSED
closeApplication(),,,,13-02-2024 16:38:42,13-02-2024 16:38:45,2.734s,PASSED
,,,,,,,
Test Cases/Login/Login - Berhasil,,,,13-02-2024 16:39:45,13-02-2024 16:40:21,36.835s,PASSED
"startApplication(""C:\Users\LENOVO\Downloads\Advantage+demo+3.2.apk"", true)",,,,13-02-2024 16:39:45,13-02-2024 16:40:00,15.130s,PASSED
"tap(findTestObject(""Object Repository/Login Berhasil/android.widget.ImageView""), 0)",,,,13-02-2024 16:40:00,13-02-2024 16:40:02,2.040s,PASSED
"tap(findTestObject(""Object Repository/Login Berhasil/android.widget.LinearLayout""), 0)",,,,13-02-2024 16:40:02,13-02-2024 16:40:03,1.492s,PASSED
"tap(findTestObject(""Object Repository/Login Berhasil/android.widget.EditText""), 0)",,,,13-02-2024 16:40:03,13-02-2024 16:40:05,1.841s,PASSED
"setText(findTestObject(""Object Repository/Login Berhasil/android.widget.EditText""), username, 0)",,,,13-02-2024 16:40:05,13-02-2024 16:40:08,2.959s,PASSED
hideKeyboard(),,,,13-02-2024 16:40:08,13-02-2024 16:40:10,2.150s,PASSED
"tap(findTestObject(""Object Repository/Login Berhasil/android.widget.EditText (1)""), 0)",,,,13-02-2024 16:40:10,13-02-2024 16:40:11,0.420s,PASSED
"setText(findTestObject(""Object Repository/Login Berhasil/android.widget.EditText (1)""), password, 0)",,,,13-02-2024 16:40:11,13-02-2024 16:40:13,2.534s,PASSED
hideKeyboard(),,,,13-02-2024 16:40:13,13-02-2024 16:40:15,1.689s,PASSED
"tap(findTestObject(""Object Repository/Login Berhasil/android.widget.Button - LOGIN""), 0)",,,,13-02-2024 16:40:15,13-02-2024 16:40:16,0.738s,PASSED
"tap(findTestObject(""Object Repository/Login Berhasil/android.widget.ImageView""), 0)",,,,13-02-2024 16:40:16,13-02-2024 16:40:18,2.878s,PASSED
closeApplication(),,,,13-02-2024 16:40:18,13-02-2024 16:40:21,2.861s,PASSED
,,,,,,,
Test Cases/Login/Variation - Username Salah,,,,13-02-2024 16:40:21,13-02-2024 16:41:08,46.998s,PASSED
"startApplication(""C:\Users\LENOVO\Downloads\Advantage+demo+3.2.apk"", true)",,,,13-02-2024 16:40:22,13-02-2024 16:40:52,30.224s,PASSED
"tap(findTestObject(""Object Repository/Login Gagal/android.widget.ImageView""), 0)",,,,13-02-2024 16:40:52,13-02-2024 16:40:54,2.093s,PASSED
"tap(findTestObject(""Object Repository/Login Gagal/android.widget.LinearLayout""), 0)",,,,13-02-2024 16:40:54,13-02-2024 16:40:55,1.356s,PASSED
"tap(findTestObject(""Object Repository/Login Gagal/android.widget.EditText""), 0)",,,,13-02-2024 16:40:55,13-02-2024 16:40:57,1.944s,PASSED
"setText(findTestObject(""Object Repository/Login Gagal/android.widget.EditText""), ""Lalaye"", 0)",,,,13-02-2024 16:40:57,13-02-2024 16:41:00,2.495s,PASSED
"tap(findTestObject(""Object Repository/Login Gagal/android.widget.EditText (1)""), 0)",,,,13-02-2024 16:41:00,13-02-2024 16:41:01,0.978s,PASSED
"setText(findTestObject(""Object Repository/Login Gagal/android.widget.EditText (1)""), ""@lalayeye01A"", 0)",,,,13-02-2024 16:41:01,13-02-2024 16:41:03,1.969s,PASSED
hideKeyboard(),,,,13-02-2024 16:41:03,13-02-2024 16:41:04,1.653s,PASSED
"tap(findTestObject(""Object Repository/Login Gagal/android.widget.Button - LOGIN""), 0)",,,,13-02-2024 16:41:04,13-02-2024 16:41:05,0.551s,PASSED
closeApplication(),,,,13-02-2024 16:41:05,13-02-2024 16:41:08,3.425s,PASSED
